ID,cfg-config_id,cfg-tp_size,cfg-pp_size,cfg-max_running_requests,cfg-max_total_tokens,cfg-chunked_prefill_size,cfg-gpu_memory_utilization,cfg-attention_backend,cfg-context_length,cfg-enable_torch_compile,cfg-enable_p2p_check,cfg-disable_radix_cache,cfg-ai-temperature,cfg-ai-top_k,cfg-ai-top_p,cfg-ai-repetition_penalty,cfg-ai-frequency_penalty,cost-duration,cost-total_input_tokens,cost-total_output_tokens,cost-total_output_tokens_retokenized,cost-concurrency,obj-completed+,obj-request_throughput+,obj-input_throughput+,obj-output_throughput+,obj-mean_e2e_latency_ms-,obj-median_e2e_latency_ms-,obj-std_e2e_latency_ms-,obj-p99_e2e_latency_ms-,obj-mean_ttft_ms-,obj-median_ttft_ms-,obj-std_ttft_ms-,obj-p99_ttft_ms-,obj-mean_tpot_ms-,obj-median_tpot_ms-,obj-std_tpot_ms-,obj-p99_tpot_ms-,obj-mean_itl_ms-,obj-median_itl_ms-,obj-std_itl_ms-,obj-p95_itl_ms-,obj-p99_itl_ms-,hw-file,log-file
1,1,1,1,640,20480,10240,0.85,flashinfer,8192,True,True,False,0.9,51,0.55,1.2,2.0,33.922879606019706,154032,32768,32765,14.762284433895509,128,3.7732645779660183,4540.652261509857,965.9557319593007,3912.3374809441884,3952.3518679197878,199.37566980914812,4199.269215173554,108.84313034330262,108.03515953011811,70.2162839339716,350.3505170997232,14.915664120003475,15.078106858566695,0.7803652778665402,16.250076934138274,14.915652048276732,13.06522055529058,13.884955310346255,14.606424467638135,101.05358138680458,,log_file/log-1.txt
2,5,1,1,64,26624,13312,0.85,torch_native,5120,False,False,True,0.2,11,0.7,1.8,0.4,97.18231364479288,154032,32768,32765,15.5924410164944,128,1.3171120875743665,1584.9797583848033,337.1806944190378,11838.355416819468,12022.41309499368,466.44151285742277,12071.982860823628,276.6244038593868,248.7061299616471,97.08563007374664,425.70584160042927,45.3401216194513,45.8805385488542,1.837317227783479,46.64915287069173,45.340111129410744,40.71289848070592,23.973370376899727,83.54669085238129,166.58641798887402,,log_file/log-2.txt
3,8,1,1,704,24576,7168,0.85,flashinfer,7168,True,True,True,0.7,81,1.0,1.9,1.1,40.1970167029649,154032,32768,32768,15.003363843343939,128,3.1843159144334914,3831.9261635314024,815.1848740949738,4711.6442735277815,4800.40674994234,280.7955567404929,4822.08277459722,210.52492511080345,187.8400129498914,90.3518310305488,350.6389747746289,17.651448425164624,18.065379772737035,1.169073470453974,18.456696756750198,17.65143758604216,13.43569450546056,27.45845287889039,15.034597250632938,174.44479275494814,,log_file/log-3.txt
4,17,1,1,1024,24576,4096,0.75,flashinfer,7168,True,False,True,0.7,91,0.45,1.1,0.5,40.4503284948878,154032,32768,32768,15.00779576731496,128,3.164374796515606,3807.9295207569676,810.0799479079951,4742.73647478185,4838.479443918914,287.0642943959681,4857.084961053915,207.63893900220864,188.0805294495076,87.6922943423853,373.5379506996833,17.784696218743694,18.1423705043819,1.1848650313336386,18.58647271880296,17.784683085697264,13.501470442861319,28.064188451874962,15.397851064335555,174.8630131385289,,log_file/log-4.txt
5,18,1,1,128,24576,5120,0.95,flashinfer,7168,False,False,True,0.6,61,0.85,1.7,0.6,40.20175153808668,154032,32768,32768,14.98463529631578,128,3.1839408757783665,3831.4748513897916,815.0888641992618,4706.317070869773,4789.429747033864,263.88346845451713,4822.2869244846515,211.67899776082777,188.149351044558,91.96871596388316,350.57134011993185,17.626031659250767,18.0291101140171,1.1070577180268824,18.459980213804645,17.62601920402399,13.408942031674087,27.43613787791135,14.398175186943263,174.89133960567415,,log_file/log-5.txt
6,24,1,1,384,24576,5120,0.9,flashinfer,4096,True,True,True,0.5,91,0.35,1.6,1.9,40.148610377917066,154032,32768,32768,14.998519059108132,128,3.1881551763595737,3836.5462353517023,816.1677251480509,4704.45076523356,4791.754234000109,279.0464296293105,4819.865757972002,209.98537119521643,187.83806660212576,89.86507432650335,350.0175800174475,17.625354486424875,18.03736479943801,1.1620562889602626,18.44727519873128,17.625342712192065,13.412038097158074,27.484775990545288,14.492955082096158,174.85635729040953,,log_file/log-6.txt
7,28,1,1,832,26624,12288,0.75,torch_native,5120,True,True,False,0.3,1,0.6,1.8,1.3,91.84140699380077,154032,32768,32768,15.55719818304264,128,1.3937068713313583,1677.1520062883733,356.7889590608277,11162.46070321904,11183.13744198531,307.8479595470951,11573.721344489604,156.3931644686818,137.1112645138055,57.15356963465903,360.25151726789784,43.16104917157003,43.32684513327538,1.190550182954397,44.81939832007001,43.16103791412994,41.20931250508875,11.385839476543662,55.58153176680207,90.23244459647685,,log_file/log-7.txt
8,31,1,1,192,20480,6144,0.9,torch_native,6144,False,True,True,0.3,61,0.6,1.3,0.6,103.54767893790267,154032,32768,32768,15.251414781191334,128,1.2361455255482967,1487.5466218066815,316.45325454036396,12337.879696184245,11435.069367056713,2537.908599754633,19347.215997672174,1788.7402139167534,689.5987745374441,2591.640643504703,8640.763158446644,41.36917444026467,41.99347259595479,2.9977555954711343,43.458573971929795,41.36916116286182,37.502306629903615,25.107267295613276,54.310846154112326,166.46416193339974,,log_file/log-8.txt
9,32,1,1,256,26624,7168,0.75,flashinfer,5120,False,True,False,0.0,11,0.8,1.9,0.3,32.96329738991335,154032,32768,32768,14.68476615830184,128,3.883106671214499,4672.833490472747,994.0753078309117,3781.705577948742,3736.8863039882854,183.40338892561422,4175.15022022184,87.44475691128173,58.6848504608497,56.77711302023001,302.9037889116444,14.487297337401804,14.416812964733326,0.6731660974994859,15.947398480895322,14.487285292160973,13.013187563046813,10.602806070331457,14.843102998565882,45.04171513020993,,log_file/log-9.txt
10,35,1,1,384,20480,3072,0.8,torch_native,7168,True,True,False,0.7,41,0.45,1.2,0.4,93.5715452330187,154032,32768,32765,15.574047059841641,128,1.3679372258013378,1646.141459098685,350.1919298051425,11385.059757196359,11494.271980016492,342.8192906670846,11733.487417274155,174.11490674203378,158.02403003908694,71.1906453488384,427.4774081329817,43.964489609624806,44.35066720151215,1.3331676159249535,45.374790168969945,43.964477173294114,41.394429514184594,13.29319383052957,58.5303809843026,95.32902251929045,,log_file/log-10.txt
11,37,1,1,576,30720,4096,0.85,flashinfer,4096,True,False,False,0.0,41,0.4,1.1,1.6,32.44206892000511,154032,32768,32768,14.693517978018992,128,3.945494361522361,4747.909277296971,1010.0465565497244,3724.125960314268,3703.766681952402,181.62151603622988,4143.758514181245,77.39562543065404,58.45734302420169,48.63935249628322,292.3353955755011,14.300903274053388,14.262375867396008,0.6628955085193069,15.830577260988088,14.300887058690183,13.046014006249607,9.088281856888736,14.518917573150247,44.73923724144697,,log_file/log-11.txt
12,39,1,1,640,24576,8192,0.8,flashinfer,8192,True,True,True,0.3,41,0.5,1.3,1.9,40.23714801808819,154032,32768,32768,14.998157609058334,128,3.1811399739976336,3828.104316209402,814.3718333433942,4714.711622767936,4795.736200991087,275.02147519494133,4843.664814848453,209.2221108632657,187.72235792130232,90.40371739868989,351.47960542235523,17.668586321194788,18.04198701226828,1.1369350664496343,18.52071189069573,17.66857384538133,13.42571817804128,27.481161374617166,15.51395009737461,174.67450311640278,,log_file/log-12.txt
13,41,1,1,640,20480,12288,0.75,flashinfer,5120,False,False,False,0.9,100,0.7,1.2,1.6,34.046158423880115,154032,32768,32765,14.719594104114847,128,3.759601844248609,4524.21086932267,962.458072127644,3915.2002562805137,3956.5929429372773,191.90851901148818,4209.322562555317,103.23499828882632,82.50947797205299,64.87074881543033,344.9289215030149,14.948883364673284,15.098026184839945,0.7465494222758671,16.197468800178054,14.948870435360803,13.014396536163986,14.014519137295595,15.223569318186485,101.01139578036964,,log_file/log-13.txt
14,55,1,1,832,26624,15360,0.9,torch_native,8192,False,False,True,0.0,41,0.95,1.5,0.4,97.99825265398249,154032,32768,32765,15.598904188455235,128,1.3061457376382954,1571.7831270304837,334.37330883540363,11942.698076449233,12083.881162572652,423.61768483121233,12178.957877620123,276.247597157635,250.04792388062924,96.27787578224833,419.0992621728219,45.75078619330038,46.242533893981836,1.6751451200590592,47.074633902997945,45.75077506837546,41.07628809288144,23.864239571028495,84.79182495502755,166.96595455054194,,log_file/log-14.txt
15,63,1,1,704,28672,14336,0.85,flashinfer,4096,False,True,True,0.4,61,0.65,1.8,1.3,40.25649741012603,154032,32768,32768,14.991077306264785,128,3.1796109506487555,3826.2643277369466,813.9804033660814,4714.752068395683,4796.931373886764,265.97671036249176,4826.159321204759,211.17494748796162,187.77505902107805,92.52406043540329,354.4319544825703,17.66108674865773,18.050326972597222,1.1147945910132617,18.474932485369635,17.661074450627304,13.438038411550224,27.44586784577277,14.422035368625073,175.05410252604634,,log_file/log-15.txt
16,69,1,1,640,30720,3072,0.85,flashinfer,8192,True,False,False,0.1,1,0.4,1.9,0.5,32.47469304013066,154032,32768,32768,14.698266865762196,128,3.9415307126020798,4743.139521277528,1009.0318624261324,3729.0758178714896,3712.438553920947,184.38587083669617,4183.212225686293,75.58521256396489,58.22930298745632,46.81129283106117,297.35281092813256,14.327414138460881,14.257109339129837,0.6665533547915887,15.9784928074417,14.327402262421732,13.021631515584886,9.260897946291307,15.53201179485768,45.041570947505534,,log_file/log-16.txt
17,71,1,1,512,12288,4096,0.8,flashinfer,6144,True,True,True,0.9,91,0.3,1.8,0.1,56.03481063595973,154032,32768,32768,15.009686388386399,128,2.2842943261033777,2748.862684674652,584.7793474824647,6570.819800612298,6885.580974514596,905.1431203554317,7101.837940511759,3350.373704384765,3639.2005590023473,914.5889897551443,3927.308111228049,12.629200377362878,12.779275768016483,0.4752338582743878,13.473163784116363,12.629188374829063,10.828861617483199,18.555176828674913,11.13205507863313,94.87285694805905,,log_file/log-17.txt
18,74,1,1,128,28672,10240,0.85,torch_native,7168,True,True,False,0.9,61,0.35,1.9,1.9,90.9314017710276,154032,32768,32768,15.564007209861643,128,1.4076545341543734,1693.936275038019,360.3595607435196,11056.695255992963,11103.441520943306,306.3355502646834,11358.048240060452,148.18671611465106,135.72210480924696,51.58920929411031,348.09219886083173,42.77846486226789,42.99895187848997,1.1921529674533806,44.10441461897583,42.77845227992586,40.94675253145397,10.971439096296825,54.609443095977696,85.98860501078889,,log_file/log-18.txt
19,76,1,1,128,22528,6144,0.9,flashinfer,6144,False,False,True,1.0,61,0.9,1.2,0.3,40.23875914281234,154032,32768,32768,14.988229273736088,128,3.1810126039352293,3827.9510422605567,814.3392266074187,4711.779279086841,4789.025187841617,266.0759795274076,4841.653774264269,209.79083213933336,187.915627961047,89.89279813851799,351.38715074630454,17.654856654696108,18.037869757059593,1.1064123233070082,18.536302170834922,17.65484508956148,13.402841985225677,27.527810920127273,14.868583960924294,174.75012355018407,,log_file/log-19.txt
20,79,1,1,576,20480,8192,0.7,flashinfer,8192,True,False,False,0.8,71,0.55,1.3,0.0,33.96089891390875,154032,32768,32765,14.754823748019202,128,3.7690403992097323,4535.568990399011,964.8743421976915,3914.7427953048464,3953.405318548903,204.0710204191721,4216.544983014464,107.21201705018757,82.58486352860928,72.97103333246952,352.52886160044,14.931493248057485,15.103211925438075,0.7914964096243616,16.29118710604734,14.931481365477106,13.023935141973197,13.939425789922817,14.922646759077907,100.68541228305548,,log_file/log-20.txt
