ID,cfg-agent_config_id,cfg-cycle_budget,cfg-enabled_components,cfg-allow_fs_access,cfg-full_message_count,cfg-shell_command_control,cfg-task_max_duration_s,cfg-information_availability,cfg-num_runs,cfg-ai-model_name,cfg-ai-big_brain,cfg-ai-use_functions_api,cfg-ai-send_token_limit,cfg-ai-cognitive_strategy,cfg-ai-temperature,cfg-ai-max_tokens,cfg-ai-prompt_style,cost-num_tasks,cost-total_duration,cost-total_cycles,cost-total_tokens,cost-avg_tokens_per_task,cost-tokens_per_request_avg,cost-tokens_per_request_std,cost-token_usage_prompt_tokens,cost-token_usage_completion_tokens,cost-token_usage_total_tokens,cost-estimated_cost_usd,cost-cost_total_cost_usd,cost-cost_prompt_cost_usd,cost-cost_completion_cost_usd,obj-success_rate+,obj-num_success+,obj-instruction_adherence_score+,obj-correctness_score+,obj-throughput_tasks_per_sec+,obj-throughput_tokens_per_sec+,obj-cycle_efficiency+,obj-instruction_adherence_response_present+,obj-instruction_adherence_no_error+,obj-instruction_adherence_send_limit_respected+,obj-instruction_adherence_finish_reason_ok+,obj-error_rate-,obj-timeout_rate-,obj-step_timeout_rate-,obj-wall_timeout_rate-,obj-num_failures-,obj-num_timeouts-,obj-num_step_timeouts-,obj-num_wall_timeouts-,obj-avg_task_duration-,obj-median_task_duration-,obj-p95_task_duration-,obj-p99_task_duration-,obj-latency_p50-,obj-latency_p90-,obj-latency_p95-,obj-latency_p99-,obj-avg_cycles_per_task-,obj-avg_steps_per_wall_timeout-,obj-retry_rate-,hw-file,log-file
1,qwen2.5-7b-instruct_bb1_c10_stl2048_one__t0.0_m2048_conc_file_fs1_fmc8_dl_ufa1,10,FileManagerComponent,True,8,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,2048,one_shot,0.0,2048,concise,1,59.877803325653076,10,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.016700679458152002,0.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,59.8751220703125,59.8751220703125,59.8751220703125,59.8751220703125,59.8751220703125,59.8751220703125,59.8751220703125,59.8751220703125,10.0,,,hw_file/hw-1.txt,log_file/log-1.txt
2,qwen2.5-7b-instruct_bb1_c10_stl2048_one__t0.7_m512_conc_file+code+webs_fs1_fmc4_dl_ufa1,10,FileManagerComponent+CodeExecutorComponent+WebSearchComponent,True,4,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,2048,one_shot,0.7,512,concise,1,83.19935894012451,10,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.012019323378677267,0.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,83.19694352149963,83.19694352149963,83.19694352149963,83.19694352149963,83.19694352149963,83.19694352149963,83.19694352149963,83.19694352149963,10.0,,,hw_file/hw-2.txt,log_file/log-2.txt
3,qwen2.5-7b-instruct_bb1_c10_stlinf_one__t0.0_m512_conc_file+code+webs+cont_fs1_fmc2_dl_ufa0,10,FileManagerComponent+CodeExecutorComponent+WebSearchComponent+ContextComponent,True,2,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,512,concise,1,44.51072883605957,10,11437,11437.0,11437.0,0.0,7100,4337,11437,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.022466493498301647,256.94928614007597,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,44.50853204727173,44.50853204727173,44.50853204727173,44.50853204727173,44.50853204727173,44.50853204727173,44.50853204727173,44.50853204727173,10.0,,,hw_file/hw-3.txt,log_file/log-3.txt
4,qwen2.5-7b-instruct_bb1_c10_stlinf_one__t0.7_m2048_conc_file+code+webs+cont_fs1_fmc4_al_ufa0,10,FileManagerComponent+CodeExecutorComponent+WebSearchComponent+ContextComponent,True,4,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.7,2048,concise,1,35.471041202545166,10,10446,10446.0,10446.0,0.0,7100,3346,10446,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.02819201145773659,294.4937516875164,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,35.46873426437378,35.46873426437378,35.46873426437378,35.46873426437378,35.46873426437378,35.46873426437378,35.46873426437378,35.46873426437378,10.0,,,hw_file/hw-4.txt,log_file/log-4.txt
5,qwen2.5-7b-instruct_bb1_c10_stlinf_one__t0.7_m2048_conc_file+code+webs+cont_fs1_fmc4_dl_ufa0,10,FileManagerComponent+CodeExecutorComponent+WebSearchComponent+ContextComponent,True,4,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.7,2048,concise,1,40.755576848983765,10,10975,10975.0,10975.0,0.0,7100,3875,10975,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.024536519350601093,269.288299872847,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,40.753217935562134,40.753217935562134,40.753217935562134,40.753217935562134,40.753217935562134,40.753217935562134,40.753217935562134,40.753217935562134,10.0,,,hw_file/hw-5.txt,log_file/log-5.txt
6,qwen2.5-7b-instruct_bb1_c10_stlinf_one__t0.7_m512_conc_file_fs0_fmc8_dl_ufa1,10,FileManagerComponent,False,8,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.7,512,concise,1,118.63523292541504,10,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.008429199111773915,0.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,118.63297843933105,118.63297843933105,118.63297843933105,118.63297843933105,118.63297843933105,118.63297843933105,118.63297843933105,118.63297843933105,10.0,,,hw_file/hw-6.txt,log_file/log-6.txt
7,qwen2.5-7b-instruct_bb1_c25_stl2048_one__t0.7_m512_conc_file+code+webs+cont_fs0_fmc2_dl_ufa0,25,FileManagerComponent+CodeExecutorComponent+WebSearchComponent+ContextComponent,False,2,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,2048,one_shot,0.7,512,concise,1,84.68729066848755,25,23622,23622.0,23622.0,0.0,15650,7972,23622,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.011808147268691685,278.93205478103494,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,84.68494939804077,84.68494939804077,84.68494939804077,84.68494939804077,84.68494939804077,84.68494939804077,84.68494939804077,84.68494939804077,25.0,,,hw_file/hw-7.txt,log_file/log-7.txt
8,qwen2.5-7b-instruct_bb1_c25_stl2048_one__t0.7_m512_conc_file+code_fs1_fmc8_al_ufa1,25,FileManagerComponent+CodeExecutorComponent,True,8,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,2048,one_shot,0.7,512,concise,1,180.00780320167542,21,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.5,,0.005555314726437884,0.0,0.047619047619047616,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0,1,180.0067241191864,180.0067241191864,180.0067241191864,180.0067241191864,180.0067241191864,180.0067241191864,180.0067241191864,180.0067241191864,21.0,21.0,,hw_file/hw-8.txt,log_file/log-8.txt
9,qwen2.5-7b-instruct_bb1_c25_stlinf_one__t0.0_m2048_conc_file_fs1_fmc8_dl_ufa0,25,FileManagerComponent,True,8,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,96.60822057723999,25,23460,23460.0,23460.0,0.0,14034,9426,23460,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.01035108600515504,242.83647768093724,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,96.60573506355286,96.60573506355286,96.60573506355286,96.60573506355286,96.60573506355286,96.60573506355286,96.60573506355286,96.60573506355286,25.0,,,hw_file/hw-9.txt,log_file/log-9.txt
10,qwen2.5-7b-instruct_bb1_c25_stlinf_one__t0.7_m2048_conc_file_fs0_fmc2_al_ufa0,25,FileManagerComponent,False,2,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.7,2048,concise,1,89.93505644798279,25,20653,20653.0,20653.0,0.0,12072,8581,20653,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.011119134623308836,229.6434873751974,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,89.93261384963989,89.93261384963989,89.93261384963989,89.93261384963989,89.93261384963989,89.93261384963989,89.93261384963989,89.93261384963989,25.0,,,hw_file/hw-10.txt,log_file/log-10.txt
11,qwen2.5-7b-instruct_bb1_c25_stlinf_one__t0.7_m512_conc_file+code_fs0_fmc8_dl_ufa0,25,FileManagerComponent+CodeExecutorComponent,False,8,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.7,512,concise,1,104.42287111282349,25,22952,22952.0,22952.0,0.0,13000,9952,22952,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.009576446130460749,219.7985915863351,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,104.42052745819092,104.42052745819092,104.42052745819092,104.42052745819092,104.42052745819092,104.42052745819092,104.42052745819092,104.42052745819092,25.0,,,hw_file/hw-11.txt,log_file/log-11.txt
12,qwen2.5-7b-instruct_bb1_c3_stl2048_one__t0.0_m512_conc_file+code_fs1_fmc8_dl_ufa1,3,FileManagerComponent+CodeExecutorComponent,True,8,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,2048,one_shot,0.0,512,concise,1,26.872195720672607,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.03721318534572545,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,26.86988639831543,26.86988639831543,26.86988639831543,26.86988639831543,26.86988639831543,26.86988639831543,26.86988639831543,26.86988639831543,3.0,,,hw_file/hw-12.txt,log_file/log-12.txt
13,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file+code_fs1_fmc4_al_ufa1,3,FileManagerComponent+CodeExecutorComponent,True,4,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,26.92873477935791,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.03713505325049824,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,26.926342964172363,26.926342964172363,26.926342964172363,26.926342964172363,26.926342964172363,26.926342964172363,26.926342964172363,26.926342964172363,3.0,,,hw_file/hw-13.txt,log_file/log-13.txt
14,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc2_al_ufa0,3,FileManagerComponent,False,2,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,19.610078811645508,3,3129,3129.0,3129.0,0.0,1185,1944,3129,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.050994185673855975,159.56080697349535,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,19.607744693756104,19.607744693756104,19.607744693756104,19.607744693756104,19.607744693756104,19.607744693756104,19.607744693756104,19.607744693756104,3.0,,,hw_file/hw-14.txt,log_file/log-14.txt
15,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc2_al_ufa1,3,FileManagerComponent,False,2,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,16.966989517211914,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.05893797476479635,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,16.964685440063477,16.964685440063477,16.964685440063477,16.964685440063477,16.964685440063477,16.964685440063477,16.964685440063477,16.964685440063477,3.0,,,hw_file/hw-15.txt,log_file/log-15.txt
16,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc2_dl_ufa0,3,FileManagerComponent,False,2,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,19.607847213745117,3,3129,3129.0,3129.0,0.0,1185,1944,3129,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.05099998939705115,159.57896682337307,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,19.605478525161743,19.605478525161743,19.605478525161743,19.605478525161743,19.605478525161743,19.605478525161743,19.605478525161743,19.605478525161743,3.0,,,hw_file/hw-16.txt,log_file/log-16.txt
17,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc2_dl_ufa1,3,FileManagerComponent,False,2,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,16.92862892150879,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0590715293386485,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,16.92624831199646,16.92624831199646,16.92624831199646,16.92624831199646,16.92624831199646,16.92624831199646,16.92624831199646,16.92624831199646,3.0,,,hw_file/hw-17.txt,log_file/log-17.txt
18,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc4_al_ufa0,3,FileManagerComponent,False,4,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,19.59478259086609,3,3129,3129.0,3129.0,0.0,1185,1944,3129,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.05103399312356443,159.6853644836331,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,19.592365980148315,19.592365980148315,19.592365980148315,19.592365980148315,19.592365980148315,19.592365980148315,19.592365980148315,19.592365980148315,3.0,,,hw_file/hw-18.txt,log_file/log-18.txt
19,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc4_al_ufa1,3,FileManagerComponent,False,4,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,16.922411918640137,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.05909323120178242,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,16.91997265815735,16.91997265815735,16.91997265815735,16.91997265815735,16.91997265815735,16.91997265815735,16.91997265815735,16.91997265815735,3.0,,,hw_file/hw-19.txt,log_file/log-19.txt
20,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc4_dl_ufa0,3,FileManagerComponent,False,4,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,19.563508987426758,3,3129,3129.0,3129.0,0.0,1185,1944,3129,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.051115574442329774,159.94063243004987,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,19.561214447021484,19.561214447021484,19.561214447021484,19.561214447021484,19.561214447021484,19.561214447021484,19.561214447021484,19.561214447021484,3.0,,,hw_file/hw-20.txt,log_file/log-20.txt
21,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc4_dl_ufa1,3,FileManagerComponent,False,4,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,16.927286863327026,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.05907621274892555,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,16.92489790916443,16.92489790916443,16.92489790916443,16.92489790916443,16.92489790916443,16.92489790916443,16.92489790916443,16.92489790916443,3.0,,,hw_file/hw-21.txt,log_file/log-21.txt
22,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc8_al_ufa0,3,FileManagerComponent,False,8,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,19.511547088623047,3,3129,3129.0,3129.0,0.0,1185,1944,3129,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.05125170215657006,160.3665760479077,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,19.50930666923523,19.50930666923523,19.50930666923523,19.50930666923523,19.50930666923523,19.50930666923523,19.50930666923523,19.50930666923523,3.0,,,hw_file/hw-22.txt,log_file/log-22.txt
23,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc8_al_ufa1,3,FileManagerComponent,False,8,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,16.900716304779053,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.059169089757291994,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,16.898324489593506,16.898324489593506,16.898324489593506,16.898324489593506,16.898324489593506,16.898324489593506,16.898324489593506,16.898324489593506,3.0,,,hw_file/hw-23.txt,log_file/log-23.txt
24,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc8_dl_ufa0,3,FileManagerComponent,False,8,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,19.522163152694702,3,3129,3129.0,3129.0,0.0,1185,1944,3129,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.05122383171262284,160.27936942879688,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,19.51992630958557,19.51992630958557,19.51992630958557,19.51992630958557,19.51992630958557,19.51992630958557,19.51992630958557,19.51992630958557,3.0,,,hw_file/hw-24.txt,log_file/log-24.txt
25,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs0_fmc8_dl_ufa1,3,FileManagerComponent,False,8,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,16.952716588974,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.05898759616204504,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,16.95037817955017,16.95037817955017,16.95037817955017,16.95037817955017,16.95037817955017,16.95037817955017,16.95037817955017,16.95037817955017,3.0,,,hw_file/hw-25.txt,log_file/log-25.txt
26,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs1_fmc2_al_ufa0,3,FileManagerComponent,True,2,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,9.214171648025513,3,2317,2317.0,2317.0,0.0,1434,883,2317,0.0,0.0,0.0,0.0,1.0,1,1.0,,0.10852847528776915,251.4604772417611,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,9.211963891983032,9.211963891983032,9.211963891983032,9.211963891983032,9.211963891983032,9.211963891983032,9.211963891983032,9.211963891983032,3.0,,,hw_file/hw-26.txt,log_file/log-26.txt
27,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs1_fmc2_al_ufa1,3,FileManagerComponent,True,2,allowlist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,35.58048367500305,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.02810529528305841,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,35.57817339897156,35.57817339897156,35.57817339897156,35.57817339897156,35.57817339897156,35.57817339897156,35.57817339897156,35.57817339897156,3.0,,,hw_file/hw-27.txt,log_file/log-27.txt
28,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs1_fmc2_dl_ufa0,3,FileManagerComponent,True,2,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,False,,one_shot,0.0,2048,concise,1,5.6749327182769775,3,1956,1956.0,1956.0,0.0,1434,522,1956,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.17621354289881694,344.67368991008595,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,5.672523021697998,5.672523021697998,5.672523021697998,5.672523021697998,5.672523021697998,5.672523021697998,5.672523021697998,5.672523021697998,3.0,,,hw_file/hw-28.txt,log_file/log-28.txt
29,qwen2.5-7b-instruct_bb1_c3_stlinf_one__t0.0_m2048_conc_file_fs1_fmc2_dl_ufa1,3,FileManagerComponent,True,2,denylist,180.0,mixed,1,qwen2.5-7b-instruct,True,True,,one_shot,0.0,2048,concise,1,37.11109471321106,3,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.026946119690832326,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,37.10871934890747,37.10871934890747,37.10871934890747,37.10871934890747,37.10871934890747,37.10871934890747,37.10871934890747,37.10871934890747,3.0,,,hw_file/hw-29.txt,log_file/log-29.txt
