llm_model_name,llm_model_max_token_size,llm_model_max_async,chunk_token_size,chunk_overlap_token_size,entity_extract_max_gleaning,embedding_batch_num,embedding_func_max_async,max_parallel_insert,mode,response_type,top_k,max_token_for_text_unit,max_token_for_global_context,max_token_for_local_context,history_turns,llm_model_kwargs.option.temperature,llm_model_kwargs.option.top_p,llm_model_kwargs.option.top_k,llm_model_kwargs.option.repeat_penalty,llm_model_kwargs.option.num_ctx,cosine_threshold,total_time,precision,recall,f1_score
deepseek-r1:32b,27185,4,1458,106,6,18,20,2,global,Bullet Points,95,2206,4903,4359,2,0.7767493032198601,0.3013070224382288,86,0.6260848923125536,15829,0.6830959609163323,238.8350269794464,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,12190,10,2167,32,9,63,18,5,bypass,Single Paragraph,98,2307,5177,5681,10,0.5906491895113984,0.9795484118697008,90,1.976362973557086,26981,0.7372392094920014,4.697798013687134,0.2360248447204969,0.6666666666666666,0.3486238532110092
deepseek-r1:32b,11122,10,1324,146,6,33,7,2,global,Multiple Paragraphs,23,4070,2670,4476,7,0.863246363483859,0.2707227923027421,29,1.01117955370458,8337,0.9763688334385824,4.443868398666382,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,29260,10,1710,155,7,61,25,1,naive,Bullet Points,61,4148,1414,2970,10,0.9570820328911,0.1621554906005876,38,1.521760697790926,25452,0.0769090142383236,8.494789600372314,0.10747663551401869,0.8070175438596491,0.18969072164948456
deepseek-r1:32b,23506,14,1005,167,3,15,29,5,naive,Single Paragraph,69,3644,5665,3502,7,0.3434528902268959,0.7938648186759956,67,0.8453163307964945,28947,0.6859801849690395,4.650426626205444,0.7142857142857143,0.17543859649122806,0.2816901408450704
deepseek-r1:32b,23931,10,2328,118,4,39,6,5,hybrid,Single Paragraph,21,4128,2271,2772,1,0.5240803988668172,0.8752111348494122,50,1.5161829014709145,18946,0.0895614251323113,4.576003074645996,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,20206,14,2139,103,8,51,15,6,local,Bullet Points,36,2837,4571,2779,6,0.7246285093731661,0.200366180588401,29,1.0713129535933943,30418,0.3929587489131878,4.445638179779053,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,26713,8,2271,27,9,25,5,1,mix,Multiple Paragraphs,53,4165,1878,3468,8,0.5169114009278466,0.5319935071162658,1,0.0359061071682018,8929,0.9399153315890254,3.883707046508789,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,17687,9,868,50,8,44,14,6,global,Multiple Paragraphs,14,5205,1045,3538,8,0.2537348826181909,0.1693810850097895,100,1.4561586231323185,18167,0.7260266384622378,4.709986686706543,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,24804,5,1723,138,6,60,5,4,mix,Multiple Paragraphs,89,2907,3267,1290,5,0.149467206692063,0.023373785707384,67,1.1859384420272263,8921,0.9645030424263163,4.385295867919922,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,12379,2,2008,98,2,30,5,3,naive,Bullet Points,65,2425,4877,5338,9,0.3550476618601667,0.7633983931537044,58,0.8114310000302872,6499,0.2374440582887506,6.9646077156066895,0.10703363914373089,0.6140350877192983,0.18229166666666666
deepseek-r1:32b,32430,10,2080,65,4,15,31,5,mix,Multiple Paragraphs,18,1994,1193,5767,4,0.5088583602695356,0.2348989108307388,19,0.0840041664216229,26324,0.793731568439138,3.554319143295288,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,20856,8,1687,30,4,26,11,6,local,Single Paragraph,30,3920,4593,5000,6,0.22391871167151,0.7563730573466886,49,1.5681894804882468,13400,0.8234980120057589,4.232965707778931,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,4086,9,1017,76,3,56,27,1,bypass,Single Paragraph,49,4664,4846,5966,3,0.0858091083599646,0.6863054246337813,8,0.0567274374370797,22283,0.7017890699229957,3.4625720977783203,0.5,0.05263157894736842,0.09523809523809525
